GUID,Make,Model,Mileage,Price,First Registration,Fuel Type,Seller
26d362b7-bebf-46a7-9a72-48a4a4521e68,audi,a4,"46,000 km","€ 33,990.-",03/2024,Gasoline,Team ABT & VOITO
db616f14-e6bd-4010-8e1c-b82ee4569af3,audi,a4,"223,706 km","€ 5,950.-",09/2011,Gasoline,Topper Auto
f469d864-ed26-47c3-9da5-db843961fa3f,audi,q3,"59,000 km","€ 30,999.-",03/2020,Electric/Gasoline,Garage des Chaufours SRL
e113a633-e72c-45c0-9590-66aa8c3127bb,audi,q3,"239,750 km","€ 12,500.-",09/2016,Diesel,Bianco Automobili Srl
ed194bc4-9ea3-4230-b28b-e46613e59599,audi,q5,"143,146 km","€ 16,750.-",07/2012,Gasoline,Pieterson Auto's B.V.
411385da-a1a0-4b22-8824-3f7dbace7f8a,audi,a1,"15,000 km","€ 19,990.-",01/2020,Gasoline,Lima Automobile GmbH
f8f8535d-e67a-41db-8182-f3b2574d7b85,audi,q5,"56,000 km","€ 33,995.-",06/2020,Diesel,Autohandel Beernaert Frederik bvba
129cacf7-2679-498c-980c-76c4b4c50cac,audi,a1,"229,149 km","€ 8,950.-",02/2013,Gasoline,Auto Roden
14e020ad-17b3-4c96-b410-363c303d3ae5,audi,q3,"40,000 km","€ 24,950.-",10/2019,Gasoline,Garage De Mey VW - AUDI
52623fae-552d-4ea1-8a10-7061ee8d27cb,audi,q3,"4,043 km","€ 39,900.-",06/2024,Gasoline,Yprauto
2ada2b5f-2553-4381-be37-a8dbc3f0260e,audi,a5,"34,229 km","€ 36,990.-",01/2021,Gasoline,A&M Quality Used Cars Genk
a5ede445-d05b-439d-8bac-9de0a96f0111,audi,a5,"75,742 km","€ 24,990.-",06/2019,- Fuel type,Auto's Verschueren NV
cddb2e44-a005-4b8c-83aa-e7a3ab3876af,audi,a4,"98,000 km","€ 23,750.-",01/2020,Diesel,MG Cars
0e2c6fe6-ba9a-4a19-bca5-bf06e509f9b0,audi,tt,"149,000 km","€ 11,900.-",08/2009,Gasoline,F.lli Bercini s.r.l
22fb53e4-6c16-4e20-b61e-8c8c8dbce25b,audi,q5,"65,161 km","€ 35,990.-",02/2021,Others,Audi Zentrum Rostock
d93603af-fad5-46d2-8d41-d1c30ddc3d07,audi,q2,"32,251 km","€ 26,890.-",10/2020,Diesel,SHG Handelsgesellschaft mbH Rittersbacher
221c7e66-4260-4744-89dd-e0be0856cbe0,audi,a1,"31,766 km","€ 11,950.-",11/2016,Gasoline,Autohero GmbH
9284a7bf-51fb-4da3-94f1-4483636e6090,audi,a1,"93,123 km","€ 13,995.-",09/2017,Gasoline,Autocentrum Brabant Waalwijk
f023d178-9506-4527-b97a-ddff2ef41a2b,audi,q2,"145,000 km","€ 16,999.-",06/2017,Diesel,Garage des Chaufours SRL
123bd1f8-6aa2-44f1-959b-7c8b82a1eb66,audi,a3,"58,579 km","€ 17,990.-",06/2020,Gasoline,Van Mossel My Way Approved Plus Lokeren
7f3e0e36-95eb-4b19-91c9-d809aeb75058,audi,q3,"149,992 km","€ 22,499.-",09/2020,Diesel,Auto Simeone Srl
67649539-a755-4b3c-9142-12ab847906b3,audi,q3,"9,500 km","€ 39,990.-",01/2024,Gasoline,Van Mossel My Way Approved Plus Sint-Niklaas
aed7f9dd-5f26-44a0-8715-98a890570878,audi,a6,"243,100 km","€ 8,990.-",10/2012,Diesel,Auto - Galerie - 24 GmbH
38edd4dd-4ba5-47c1-972f-03951afe9c14,audi,a4,"55,494 km","€ 22,100.-",12/2019,Diesel,BY CAR
2936ef96-732c-48dd-b9be-a068498b52be,audi,a3,"40,138 km","€ 29,990.-",10/2021,Gasoline,Ab Cars
4f4d978c-d982-4673-8647-89534ad7e027,audi,a4,"71,182 km","€ 10,000.-",08/2008,Diesel,Provan Motors
52915dbb-cd40-4d96-abee-d48351758184,audi,rs q3,"152,052 km","€ 19,999.-",03/2014,Gasoline,auto mega store gmbh
7efd459d-8658-4fbd-8c07-2b5e2486c087,audi,a6,"157,428 km","€ 15,490.-",06/2016,Diesel,D.T Mouscron Srl
2e282114-8a20-4945-b121-677c2bf08c68,audi,a3,"220,500 km","€ 5,300.-",03/2005,Gasoline,ST Automobile
c92ee042-4660-46f4-97f0-77313ba55020,audi,a8,"175,144 km","€ 9,999.-",01/2009,Diesel,Garage des Chaufours SRL
eb96872c-daf9-4f5b-9cb0-a51f20783396,audi,a1,"102,300 km","€ 12,900.-",05/2013,Gasoline,H&S Automobile Hamburg GmbH
2bf35223-5778-47d5-99c6-296fce70a363,audi,a3,"49,250 km","€ 17,990.-",12/2019,Gasoline,Mon Occasion
11b49965-4a63-45f8-a940-0761add403e4,audi,a4,"183,755 km","€ 6,750.-",01/2009,Gasoline,Autostad Den Haag
b39cacbf-5312-4d3e-b2d8-e1ed1aa225c9,audi,a3,"156,795 km","€ 13,950.-",02/2016,Electric/Gasoline,Pelter Autogroup (BV)
3d259292-defe-4b77-b1c8-6f35f92a8044,audi,a3,"189,896 km","€ 3,990.-",03/2003,Diesel,Autowiese Berlin Pankow
93281402-07ef-4fbc-86af-c387b331dd5d,audi,a4,"125,000 km","€ 17,480.-",07/2019,Diesel,AutoDR di Rapari Marco Valentino
51288a69-d25e-4b5b-ab12-ca9758451f8e,audi,a4,"238,000 km","€ 4,799.-",03/2008,Gasoline,Auto - Galerie - 24 GmbH
8bd43e6c-ae4e-4af8-9ef8-d02f6ec5adb2,audi,a5,"215,329 km","€ 9,999.-",09/2014,Gasoline,MYAUTOCENTER OHG
517520be-8b6f-4663-8537-f509ed3eeb86,audi,a5,"190,622 km","€ 12,950.-",01/2014,Gasoline,Autocentrum Leiden
0b87d834-46b7-43ba-baa2-d10403b69cf0,audi,a3,"223,204 km","€ 10,000.-",06/2014,Gasoline,Vakgarage Leithon - WK Auto's
768f5ef3-ea40-49ab-8e92-a0b4b6722f73,audi,a4,"96,462 km","€ 22,900.-",08/2019,Diesel,Eurocar Srl Lorenzi auto hub
2e256f6a-5ce6-439a-b87f-6a6a14914884,audi,q7,"158,700 km","€ 26,900.-",08/2015,Diesel,Carmax GmbH & Co. KG
e0d5ca92-15bd-4004-8421-120528b2ce78,audi,a3,"174,814 km","€ 8,900.-",11/2010,Gasoline,Autobedrijf Favoriet
cfc0d4c2-b58b-4ca8-9f08-227c999a685c,audi,a5,"198,721 km","€ 9,999.-",01/2011,Gasoline,Piek Automotive
0259a801-6778-4ba6-b767-241a5e2e0406,audi,a3,"38,784 km","€ 37,850.-",05/2021,Electric/Gasoline,EAF Auto's B.V.
080a5f6d-8d25-478a-8968-1637ee652c19,audi,a5,"115,700 km","€ 19,990.-",01/2016,Diesel,Car drive
feeb665a-117f-441b-b9b7-634a2a2ec801,audi,a4,"280,000 km","€ 4,990.-",11/2006,Diesel,DB Automobile OG
ad73d6d8-a72a-4987-b14a-6bf191942f09,audi,a4,"73,545 km","€ 24,880.-",06/2021,Gasoline,Autohaus J. Wiest+Söhne GmbH
6d5317dc-0bdb-4d0e-8f63-9c5223966a97,audi,q2,"172,632 km","€ 14,999.-",04/2019,Gasoline,Piek Automotive
5056d51a-c17c-4adc-b956-5a65f9a7cf75,audi,a4,"282,888 km","€ 3,990.-",10/2006,Diesel,VIP Motors
6d5317dc-0bdb-4d0e-8f63-9c5223966a97,audi,q2,"172,632 km","€ 14,999.-",04/2019,Gasoline,Piek Automotive
564667fb-0172-47f7-b8da-a20850c03e79,audi,a4,"186,370 km","€ 16,999.-",06/2021,Diesel,MYAUTOCENTER OHG
a4df036d-7e99-4427-b06b-3a2c175864df,audi,a6,"122,789 km","€ 32,990.-",08/2019,Diesel,AUTO.
473f6aab-1a7c-478a-a15d-157f1c929f6a,audi,s3,"72,800 km","€ 23,950.-",11/2013,Gasoline,Autohaus v. Wülfing GmbH
6f36403a-f5dc-4353-acf7-efbb03881120,audi,a6,"402,642 km","€ 1,480.-",10/2004,Diesel,Autowelt Rendsburg
b96919c2-c3fe-4f18-9714-372d9d94c020,audi,a4 allroad,"133,300 km","€ 22,900.-",02/2018,Diesel,Centro Selezione Auto Srl
a0b0a3fa-488b-496c-a041-fa65eedb9571,audi,tt rs,"19,000 km","€ 19,500.-",04/2022,Gasoline,Verauto Srl
97236272-9896-4f3d-b8f1-abef87c15d45,audi,a4,"143,556 km","€ 19,990.-",01/2020,Diesel,Provan Motors
4ea55f1e-e7ab-4b44-af11-0a1f80d731e0,audi,q5,"104,252 km","€ 18,500.-",11/2016,Diesel,Autoshopping Srl
5fab2337-af00-4d85-9449-5ee0c6d35fe0,audi,tt,"294,269 km","€ 3,900.-",03/2004,Gasoline,Toyota Wagenmaker Deventer B.V.
f2105df3-773b-46cf-9f37-48e4d576e1d3,audi,q3,"113,835 km","€ 15,500.-",11/2014,Diesel,Caste' Auto di Castrenze Tamburello
30fdbaca-675e-450b-8839-a6257d49610e,audi,a4,"170,000 km","€ 8,500.-",08/2012,Diesel,Fgunicar di Francioli Gianinu Laurentiu
ee3ded4b-a693-4af0-800f-5fb583a6ad96,audi,a6 allroad,"164,424 km","€ 18,999.-",03/2015,Diesel,MYAUTOCENTER OHG
a94eef37-f540-463f-9eb1-a1bd5995d93d,audi,a5,"124,900 km","€ 16,800.-",01/2016,Diesel,Gm Auto Srl
7ac03919-1044-4058-97ef-68270f70ad01,audi,a4,"108,000 km","€ 21,999.-",05/2020,Diesel,Premium Car sprl
3caa3bac-f554-4542-97b4-63a3ab14a617,audi,a4,"190,000 km","€ 5,490.-",05/2006,Diesel,MBM Car Trade
4ebbbdcb-f9b3-4945-b50a-ef59817e74a6,audi,a4,"156,200 km","€ 11,990.-",03/2013,Diesel,URAL-AUTO
bbc08f48-070c-4615-9e5e-4f9468b25eb8,audi,s6,"79,539 km","€ 39,980.-",11/2019,Diesel,Autohaus Nauen GmbH & Co. KG
5005db0e-3677-4464-a5f9-2ac60cad9522,audi,q2,"40,000 km","€ 18,950.-",05/2020,Gasoline,aaf.de GmbH
df8d756d-abc5-4d9f-ba71-7273f265580e,audi,tt,"261,347 km","€ 7,300.-",05/2011,Diesel,Carworld.ED
5d1706ff-cc46-4404-80f4-38a10ea202a4,audi,a4,"68,700 km","€ 20,800.-",03/2019,Diesel,deinAutopartner - wir bewegen Dich.
f04cb6d5-54a4-44ab-8fac-1eb8a9e0cf6a,audi,a4,"80,000 km","€ 24,500.-",05/2020,Diesel,Autohandel Christian Van Loocke
5786597c-04b2-45d3-a19f-dce86e66c500,audi,a4,"236,000 km","€ 12,990.-",09/2012,Diesel,pg-cars
db82c435-0cb2-4225-b670-601f667c4334,audi,tt,"241,191 km","€ 6,490.-",11/2006,Gasoline,Autocenter Alb
b22525d4-2881-4990-a233-93e9fa707e4a,audi,a3,"160,591 km","€ 8,490.-",09/2011,Gasoline,Steinfelder Autohaus
d91b6334-64c3-47b0-bc3c-fc24aa1f4767,audi,a4,"193,100 km","€ 9,990.-",10/2012,Gasoline,Auto - Galerie - 24 GmbH
59f1ebd9-69ae-46e6-860c-eead39a76f13,audi,q3,"90,277 km","€ 25,990.-",03/2020,Electric/Gasoline,Car drive
4d806434-764b-4fcb-8c60-d708448a7ab3,audi,a7,"313,000 km","€ 13,990.-",11/2010,Diesel,DB Automobile OG
f7049a4b-e9f8-453d-b75f-7dd894436e82,audi,a1,"141,750 km","€ 9,490.-",05/2015,Diesel,Autohaus Czekalla GmbH
3c75469f-304d-49fd-a191-6c56c53bbbd5,audi,a3,"291,785 km","€ 7,999.-",09/2012,Gasoline,Auto Garderen B.V.
22ea8c81-8fe1-4e6a-b2f3-316c4adeb750,audi,tt,"129,564 km","€ 8,990.-",11/2003,Gasoline,Steinfelder Autohaus
2a071445-2f0c-4c39-9522-a95284652f79,audi,a3,"100,000 km","€ 15,900.-",05/2016,Diesel,Avenuecar Srl
bed113da-b52e-40c1-9004-f4d8944a548a,audi,a3,"126,284 km","€ 10,950.-",03/2013,Gasoline,Groupe Michaël Mazuin
05eacfd5-81f9-4d89-82e6-384b7a52c4cd,audi,q3,"136,026 km","€ 25,670.-",12/2019,Diesel,VHG Rittersbacher GmbH
f6d6169c-5b62-4bfb-baed-af41139ea5aa,audi,a4,"42,750 km","€ 20,980.-",04/2017,Gasoline,Autohaus Albertsmeyer Mühlhausen GmbH
acfbcf98-3a03-4591-8061-a2f1dbbabcdb,audi,e-tron,"39,800 km","€ 28,740.-",02/2021,Electric,Autohaus carmax24 GmbH
7b4dd365-61b7-4f9e-9f57-f94114662236,audi,a4,"109,000 km","€ 23,990.-",06/2019,Diesel,FA Automobile GmbH & Co. KG
e7470fa0-a2ff-43ef-b0c0-554ac40a8b1e,audi,s5,"139,800 km","€ 23,900.-",09/2015,Gasoline,Youngtimer Cabrio Center
07edca2f-8921-4076-8390-923b2a735344,audi,a4,"135,000 km","€ 20,900.-",04/2017,Diesel,AG Motors
0ee19ee0-a119-4350-a76b-213f2db4b32a,audi,a3,"131,000 km","€ 10,790.-",01/2015,Diesel,MK MOTOR
55860c46-63e5-4ce9-87df-b7c6f4612f5e,audi,q4 e-tron,"17,780 km","€ 36,990.-",05/2022,Electric,Ellicars
512d52e5-0afb-4c9a-ae60-631954aadcf3,audi,q3,"28,315 km","€ 28,990.-",02/2020,Gasoline,Auto's Verschueren NV
37509f87-e409-4e9b-8613-21d8e7275ef2,audi,a3,"39,597 km","€ 25,790.-",03/2021,Gasoline,Bravoauto - part of Inchcape Retail Belgium S.A
df03052c-93c8-4685-aa50-76149d19e5ea,audi,a3,"71,455 km","€ 22,450.-",12/2021,Electric/Gasoline,DB Autohaus Bad Salzuflen
91a6bd5c-9d00-444e-9aec-f58e16110a70,audi,a1,"12,103 km","€ 19,990.-",09/2021,Gasoline,Yprauto
da9b90f2-4297-4a70-b57e-f2e2201aa5fd,audi,q5,"149,990 km","€ 24,990.-",06/2019,Diesel,Pms Auto Srl
e6c4bcbf-fdae-43aa-aa20-70e23c8b33be,audi,a4,"136,288 km","€ 10,990.-",04/2013,Gasoline,Kislali Euro Cars sprl
8addc43e-3783-41ee-bf7d-313fcc7becc7,audi,a3,"76,282 km","€ 18,950.-",04/2017,Gasoline,Massehuis Auto's
d76f0b19-0f98-4c65-912b-18ff5f6ea1f6,audi,a8,"108,754 km","€ 22,980.-",11/2011,Gasoline,Autohaus Frohnau
4c32cfb3-5b2d-4dd4-acb9-7414905b43de,audi,a6,"49,807 km","€ 41,990.-",02/2020,Diesel,CPR Cars
3f4c8a80-437d-4dd1-b08d-323bd8ac7829,audi,a5,"289,000 km","€ 12,300.-",06/2015,Diesel,Automania Srl
8a2a41da-f9ef-4a0b-93ee-6923c69ca292,audi,q8 e-tron,"25,900 km","€ 71,950.-",09/2023,Electric,VAMAUTO
9f18c000-120a-477b-92da-a10f85c5a070,audi,q3,"68,577 km","€ 23,330.-",07/2019,Gasoline,SHG Handelsgesellschaft mbH Rittersbacher
14a7ae9c-cca3-440d-8fe8-2f641de132ca,audi,a6,"262,500 km","€ 13,990.-",02/2016,Diesel,Auto-Center-Bismarck N&U
5996af43-3da2-4be3-a498-5549ab111ab0,audi,rs q3,"9,500 km","€ 58,460.-",04/2023,Gasoline,HUK-COBURG Autowelt GmbH
266f0a82-3a65-4e91-be19-65101fd6ea5c,audi,q2,"37,646 km","€ 25,500.-",05/2022,Diesel,A&M Quality Used Cars Genk
5abac162-e3e7-4dd5-a3bb-82801a0a572f,audi,a4 allroad,"159,000 km","€ 14,890.-",12/2014,Diesel,Torino Cars srl
56c9b888-3439-4f51-b6d9-08fdb9c246df,audi,a5,"57,488 km","€ 25,870.-",03/2019,Diesel,VHG Rittersbacher GmbH
7a637164-5a7d-4bd9-be76-94368ceeffba,audi,a5,"79,619 km","€ 21,980.-",10/2016,Diesel,Autohaus EuroCar Landshut GmbH
0aff8024-a991-4f08-bd83-1683bd324891,audi,a5,"140,600 km","€ 21,990.-",07/2017,Diesel,Autohaus Ranaldi GmbH
5dbf581e-0a4a-4a73-b469-ea9b0e02c4ad,audi,a4,"186,000 km","€ 18,900.-",03/2021,Electric/Diesel,Auto Rea Srl
e5513163-5156-42dc-bdb7-b92cc02352b5,audi,a5,"69,119 km","€ 15,899.-",06/2016,Gasoline,Autohero België
9ab18811-e2d2-4c73-9e0e-d968a1a1c312,audi,q5,"97,741 km","€ 28,990.-",06/2020,Diesel,LeasePlan Used Cars Liège
86d63cd2-77ff-4157-9e19-b030097d95a3,audi,q3,"19,000 km","€ 39,990.-",05/2023,Gasoline,Agence Automobilière Namur-Nord (Vezin)
da1fead1-9505-4533-a7a0-b96c77b8dc49,audi,tt,"136,874 km","€ 14,900.-",10/2012,Diesel,H&S Automobile
bc81ce4e-d685-4f4b-9f36-28a9449926a9,audi,a6,"145,000 km","€ 16,500.-",10/2013,Diesel,Autopartner Klait
c2217663-1a73-4faf-8015-53a94a0e71d6,audi,a3,"111,426 km","€ 15,970.-",01/2019,Gasoline,Verto Motors (Verto Mobility BV)
dc9c51ff-c983-4fe2-a909-86231fd186fe,audi,q3,"29,985 km","€ 31,990.-",10/2022,Gasoline,click2move by Declerc
363689fc-d559-480d-86ba-f81edb2510f2,audi,a4,"121,740 km","€ 17,780.-",07/2019,Diesel,AutoDR di Rapari Marco Valentino
e1017161-da2a-43f2-bc40-954a77712b45,audi,a6,"136,000 km","€ 23,890.-",08/2018,Diesel,Finck & Claus GmbH
c33614cf-78ee-45fa-8a1a-1796da43561a,audi,a3,"46,362 km","€ 15,960.-",03/2015,Gasoline,HUK-COBURG Autowelt GmbH
2e682c2e-db40-467b-8bb9-0fbdcc6ad62e,audi,a7,"226,000 km","€ 17,000.-",12/2016,Gasoline,Autobedrijf DKS
51ed5161-c51a-4891-acf5-1e870d87265e,audi,a3,"28,000 km","€ 22,990.-",11/2020,Gasoline,D'Haene Group
391fe32c-7adc-40df-a5d5-8ea396d61abf,audi,a6,"30,996 km","€ 37,410.-",10/2020,Electric/Gasoline,SHG Handelsgesellschaft mbH Rittersbacher
499151f5-220d-4902-a7d3-b1415e818583,audi,q7,"130,000 km","€ 32,990.-",10/2015,Diesel,Autostar
9fc995da-cb0d-4ecc-a264-ac5a81f3562f,audi,a3,"54,063 km","€ 16,400.-",12/2016,Gasoline,Autohaus Körner GmbH
43584b52-d3f7-462b-8611-690a0dffd5bf,audi,q7,"91,750 km","€ 36,900.-",12/2017,Diesel,Autohaus BMW Wigger GmbH
8baaa3a2-fefb-4b34-b990-1eff946f65e3,audi,a5,"86,000 km","€ 20,999.-",02/2016,Diesel,Trend Cars
421b9ed2-c8ce-44a8-b269-532a53327cb9,audi,q2,"162,000 km","€ 16,500.-",11/2018,Diesel,Giacchi Automobili
1224c874-8e18-4968-a8d1-130f2a9691f7,audi,a6,"208,716 km","€ 7,950.-",03/2009,Diesel,AutoSalon Michaelis GmbH & Co. KG
421b9ed2-c8ce-44a8-b269-532a53327cb9,audi,q2,"162,000 km","€ 16,500.-",11/2018,Diesel,Giacchi Automobili
15478631-717d-4c6e-9d90-caf76562653c,audi,q2,"68,100 km","€ 20,780.-",08/2019,Gasoline,Autohaus Royal GmbH
be3ea054-48a6-4f29-9ba1-a0b64a100124,audi,a7,"85,115 km","€ 29,990.-",01/2016,Diesel,CPR Cars
6f2ad4b5-f533-4b71-beec-9651d3807fb4,audi,q3,"14,000 km","€ 39,400.-",04/2023,Diesel,Ongarato Motors Srl
40031ba8-5545-4e7d-b9a3-d1224279d937,audi,a5,"85,435 km","€ 22,990.-",03/2019,Diesel,LeasePlan Used Cars Liège
3acae0fb-90bb-41e6-aa84-39f63eab832e,audi,a5,"10,888 km","€ 38,890.-",06/2023,Gasoline,Autostad Selected
d5bfbf2a-0af9-4b4f-98ee-abba6c7a9896,audi,q2,"99,600 km","€ 19,990.-",08/2020,Diesel,D'Haene Group
cac315b0-b742-4d79-9763-7b711a0c7a2d,audi,a1,"36,000 km","€ 21,900.-",01/2020,Gasoline,Giacchi Automobili
6512e219-1b69-48c0-817c-0a36e9999c24,audi,a4 allroad,"121,100 km","€ 18,400.-",06/2015,Diesel,Gruppo Auto srl
a43550b3-7d53-41d1-b732-bd9b5e645ea3,audi,a1,"76,088 km","€ 18,990.-",06/2020,Gasoline,click2move by Declerc
58e80493-5c71-4986-92d9-2e955f0856da,audi,a3,"110,557 km","€ 18,945.-",08/2019,Gasoline,Autocentrum Brabant Waalwijk
fe361981-2bc1-4d19-8844-ebf9e5d080e8,audi,q5,"154,000 km","€ 13,900.-",10/2012,Diesel,Top20 Auto srls
f173300a-0aca-4711-8486-1c37d3d655b5,audi,a3,"213,135 km","€ 9,990.-",01/2017,Gasoline,Carmax GmbH & Co. KG
81b24c4b-b6e5-476a-b333-da45940d3b8d,audi,q7,"170,302 km","€ 10,999.-",04/2006,Gasoline,Autoverkoopbedrijf van der Wal
f9314989-746c-4f05-b546-96360908b37f,audi,cabriolet,"269,609 km","€ 4,000.-",11/2006,Diesel,Autocenter Auenstraße Ismaning GmbH
1a8cc277-f8e7-4f47-bc24-044ec6fcba8d,audi,q3,"133,893 km","€ 22,950.-",11/2019,Gasoline,Devisch
55a33f2c-40ee-4de5-a2f0-97cf088034f1,audi,a3,"39,177 km","€ 23,950.-",02/2021,Gasoline,Ke Auto Srl
5e587e74-b7f3-43fa-897f-429a8d759a3d,audi,a3,"170,601 km","€ 8,499.-",03/2011,Gasoline,Piek Automotive
242eeb81-ab0b-4d1e-89b6-2c6fc3707f9f,audi,a6,"64,950 km","€ 44,950.-",02/2022,Electric/Gasoline,VAMAUTO
9554d306-ae35-41e8-babf-a5733edce1b5,audi,a3,"109,280 km","€ 19,770.-",01/2021,Electric/Gasoline,Auto Bach GmbH
9a14bcb1-e82e-466e-97fc-e37b396b8dc3,audi,s8,"86,495 km","€ 57,990.-",01/2018,Gasoline,CPR Cars
99ec910a-843a-41c0-870a-92148e2b9b23,audi,a1,"100,000 km","€ 12,900.-",08/2016,Gasoline,Auto Al Top di Alan srls
97a59141-2e13-4219-8135-23043dcf92da,audi,q5,"135,546 km","€ 38,899.-",05/2021,Electric/Diesel,Auto Simeone Srl
e565952d-ce33-4040-9874-e64059328d30,audi,a4,"49,712 km","€ 28,970.-",05/2021,Gasoline,Völkel GmbH
2c5b1a7c-a73e-432b-8aac-02a6f757541e,audi,a5,"122,400 km","€ 11,499.-",08/2011,Gasoline,Auto - Galerie - 24 GmbH
f416bb3a-17da-424d-ac17-76b8999ed7bf,audi,q2,"102,098 km","€ 21,990.-",02/2020,Diesel,CPR Cars
fb42458d-c2dc-4666-9a4d-e021d71682aa,audi,a4,"66,000 km","€ 15,949.-",01/2014,Gasoline,pg-cars
08f0f2ed-dbba-4097-bc3f-e7c80850ae75,audi,a3,"211,980 km","€ 10,999.-",12/2014,Gasoline,Piek Automotive
54d4116d-dfe5-420c-b4d4-5ff345a2224f,audi,a3,"129,813 km","€ 2,495.-",10/2002,Gasoline,Luca Cars
064bb458-0133-4ffc-a79d-e4d0c3e1af8d,audi,s8,"188,000 km","€ 29,990.-",10/2017,Gasoline,Reiner Wiegand
512b45bf-c432-4ce0-807d-4b67fca870c7,audi,q3,"69,000 km","€ 26,890.-",07/2019,Gasoline,Kale Automobile GmbH
b910c038-bbf5-4016-9c48-f7d4d1626311,audi,q5,"61,807 km","€ 32,990.-",01/2020,Diesel,Auto's Verschueren NV
d53a3b06-50c5-4dc0-9641-a9010763b083,audi,sq5,"137,320 km","€ 22,980.-",07/2013,Diesel,Autohaus Hescher
ed3937b0-66c4-47a5-9242-b97998e0bad4,audi,a1,"79,919 km","€ 15,995.-",06/2019,Gasoline,DR Motors
